AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|3|N|TUNGURAHUA|QUERO|0,0000|1700,0000|0,0000|0,0000|0,0000|6780,4700|0,0000|0,0000|0,0000|6780,4700|1700,0000
2025|3|A|ESMERALDAS|LA CONCORDIA|3615,3300|0,0000|0,0000|0,0000|0,0000|984,2900|0,0000|0,0000|0,0000|984,2900|3615,3300
2025|3|C|ESMERALDAS|ESMERALDAS|3285310,6800|1326812,7600|0,0000|8474,0400|1939324,6300|1268904,4000|2944248,0800|114605,0300|20361,5200|4361947,3200|6559922,1100
2025|3|C|COTOPAXI|SAQUISILI|91772,7800|252121,3700|0,0000|0,0000|0,0000|21276,1300|210618,1000|0,0000|0,0000|231894,2300|343894,1500
2025|3|I|ORELLANA|LA JOYA DE LOS SACHAS|1164890,4000|188954,1500|0,0000|0,0000|0,0000|316918,0200|470377,0600|17613,7200|3379,4000|809429,3300|1353844,5500
2025|3|G|CHIMBORAZO|CUMANDA|717129,6100|127531,3800|0,0000|86248,5300|0,0000|818412,5600|140125,4200|0,0000|1485,7000|1052355,5600|930909,5200
2025|3|Q|LOJA|CHAGUARPAMBA|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000|0,0000
2025|3|A|GUAYAS|SANTA LUCIA|8722,9700|1849838,2600|0,0000|0,0000|0,0000|256203,8900|1195654,7200|0,0000|6614,7800|1459453,2700|1858561,2300
2025|3|C|GUAYAS|PLAYAS|111477,6900|185021,0200|0,0000|0,0000|0,0000|137374,6800|87850,3500|0,0000|12918,1600|238169,3000|296498,7100
2025|3|O|ZAMORA CHINCHIPE|ZAMORA|27399,4200|24207,5700|0,0000|0,0000|0,0000|2160304,8800|102086,9100|0,0000|4121,6300|2266513,4200|51606,9900
2025|3|J|CHIMBORAZO|COLTA|54494,5200|0,0000|0,0000|0,0000|0,0000|61404,5200|17,3800|0,0000|0,0000|61421,9000|54494,5200
2025|3|C|ORELLANA|ORELLANA|4074758,9100|197059,9600|0,0000|5796,6000|0,0000|1188670,1300|182735,3400|12807,6000|83777,4600|1488928,3400|4277615,4700
2025|3|A|MANABI|MONTECRISTI|13503,2900|13013817,4900|0,0000|511,0000|11344220,3100|3943692,9600|19171259,2800|563340,9600|65135,1200|23751376,2700|24372052,0900
2025|3|J|IMBABURA|SAN MIGUEL DE URCUQUI|122,2800|0,0000|0,0000|0,0000|0,0000|77,8000|58,9600|0,0000|0,0000|136,7600|122,2800
2025|3|S|ZAMORA CHINCHIPE|NANGARITZA|5671,7400|5334,7600|0,0000|0,0000|0,0000|3844,5300|206,6500|0,0000|0,0000|5502,9100|11006,5000
2025|3|R|SANTA ELENA|SALINAS|829981,9400|308561,4600|0,0000|0,0000|0,0000|336772,3800|167157,7200|11462,2900|4989,9200|520561,7700|1138543,4000
2025|3|G|LOJA|PALTAS|554180,8200|350161,8000|0,0000|28855,2700|0,0000|526532,1200|284153,3900|0,0000|5160,6800|852648,9900|933197,8900
2025|3|Q|MANABI|BOLIVAR|1553,7400|10146,1100|0,0000|0,0000|0,0000|13151,9600|615,4500|0,0000|0,0000|13767,4100|11699,8500
2025|3|I|MANABI|PAJAN|8856,7600|1614,2200|0,0000|0,0000|0,0000|15214,1100|463,4900|0,0000|0,0000|15677,6000|10470,9800
2025|3|M|MANABI|PICHINCHA|246972,8700|12864,7500|0,0000|0,0000|0,0000|438960,4000|95790,4600|0,0000|27614,6000|576347,7600|259837,6200
2025|3|S|LOJA|LOJA|512003,9800|750596,6800|133,1200|0,0000|3400,0000|504266,7200|191463,6100|4018,6400|85003,6200|785327,1900|1266133,7800
2025|3|S|LOS RIOS|URDANETA|45439,9400|165991,4800|0,0000|0,0000|0,0000|30987,1500|125252,5500|0,0000|6900,0000|163139,7000|211431,4200
2025|3|O|CARCHI|MONTUFAR|8831,2700|8420,5800|0,0000|0,0000|0,0000|122190,1300|27139,6800|0,0000|10459,4000|159789,2100|17251,8500
2025|3|L|LOJA|LOJA|1891938,1400|747499,6000|615,7000|2,0000|0,0000|715404,6500|534068,0400|3577,4700|72557,3700|1368251,9600|2640055,4400
2025|3|K|MANABI|PORTOVIEJO|42303,0100|1785654,0100|0,0000|0,0000|0,0000|507696,4700|99942,8600|0,0000|19588,9800|627228,3100|1827957,0200
2025|3|I|ESMERALDAS|ATACAMES|345118,1300|242974,6100|86639,0400|0,0000|0,0000|258517,3100|775805,3500|0,0000|89650,1700|1126671,6300|674731,7800
2025|3|Q|GUAYAS|PEDRO CARBO|16924,3800|114077,9300|0,0000|0,0000|0,0000|48147,7600|5451,7900|45642,3900|936,0000|100997,9700|131002,3100
2025|3|P|LOS RIOS|QUEVEDO|71152,8000|353562,9300|0,0000|0,0000|0,0000|775144,3600|254914,6800|0,0000|9138,4200|1039639,0800|424715,7300
